event_no,particleName,PosX,PosY,PosZ,time,volume_name,volume_copy
0,mu-,162.52,162.573,-1300.5,2.37433,InDetector,4
0,mu-,156.255,156.323,-1250.5,2.54381,InDetector,3
0,mu-,149.997,150.088,-1200.5,2.71328,InDetector,2
0,mu-,143.708,143.854,-1150.5,2.88276,InDetector,1
0,mu-,137.41,137.587,-1100.5,3.05226,InDetector,0
0,mu-,-35.2333,-125.627,1099.5,10.4861,OutDetector,0
0,mu-,-36.064,-132.264,1149.5,10.6551,OutDetector,1
0,mu-,-36.8827,-138.775,1199.5,10.8241,OutDetector,2
0,mu-,-37.7562,-145.309,1249.5,10.993,OutDetector,3
0,mu-,-38.6548,-151.811,1299.5,11.162,OutDetector,4
1,mu-,162.585,162.487,-1300.5,2.37434,InDetector,4
1,mu-,156.332,156.241,-1250.5,2.54381,InDetector,3
1,mu-,150.072,150.017,-1200.5,2.71328,InDetector,2
1,mu-,143.775,143.755,-1150.5,2.88278,InDetector,1
1,mu-,137.492,137.478,-1100.5,3.05227,InDetector,0
1,mu-,-167.716,-71.7402,1099.5,10.5047,OutDetector,0
1,mu-,-174.812,-75.3254,1149.5,10.6739,OutDetector,1
1,mu-,-181.916,-78.8488,1199.5,10.8431,OutDetector,2
1,mu-,-188.967,-82.3299,1249.5,11.0123,OutDetector,3
1,mu-,-195.992,-85.851,1299.5,11.1815,OutDetector,4
2,mu-,162.579,162.494,-1300.5,2.37434,InDetector,4
2,mu-,156.331,156.257,-1250.5,2.5438,InDetector,3
2,mu-,150.111,150.039,-1200.5,2.71325,InDetector,2
2,mu-,143.902,143.833,-1150.5,2.88269,InDetector,1
2,mu-,137.693,137.644,-1100.5,3.05147,InDetector,0
2,mu-,137.593,137.543,-1099.69,3.05212,InDetector,0
2,mu-,-186.139,-103.69,1099.5,10.5245,OutDetector,0
2,mu-,-194.288,-108.276,1149.5,10.6945,OutDetector,1
2,mu-,-202.477,-112.852,1199.5,10.8645,OutDetector,2
2,mu-,-210.624,-117.484,1249.5,11.0346,OutDetector,3
2,mu-,-218.737,-122.092,1299.5,11.2046,OutDetector,4
3,mu-,162.519,162.681,-1300.5,2.37429,InDetector,4
3,mu-,156.287,156.422,-1250.5,2.54376,InDetector,3
3,mu-,150.104,150.168,-1200.5,2.7132,InDetector,2
3,mu-,143.93,143.928,-1150.5,2.88264,InDetector,1
3,mu-,137.787,137.696,-1100.5,3.05206,InDetector,0
3,mu-,-144.259,-60.6279,1099.5,10.4932,OutDetector,0
3,mu-,-144.317,-60.6449,1099.9,10.4952,OutDetector,0
3,mu-,-151.382,-62.921,1149.5,10.6644,OutDetector,1
3,mu-,-158.521,-65.2811,1199.5,10.8335,OutDetector,2
3,mu-,-165.626,-67.7127,1249.5,11.0026,OutDetector,3
3,mu-,-172.744,-70.1911,1299.5,11.1718,OutDetector,4
4,mu-,162.573,162.518,-1300.5,2.37433,InDetector,4
4,mu-,156.316,156.254,-1250.5,2.54381,InDetector,3
4,mu-,150.062,149.977,-1200.5,2.7133,InDetector,2
4,mu-,143.819,143.68,-1150.5,2.88279,InDetector,1
4,mu-,137.551,137.398,-1100.5,3.05228,InDetector,0
4,mu-,-137.733,-170.199,1099.5,10.5285,OutDetector,0
4,mu-,-143.459,-177.338,1149.5,10.6984,OutDetector,1
4,mu-,-149.203,-184.484,1199.5,10.8683,OutDetector,2
4,mu-,-154.984,-191.724,1249.5,11.0383,OutDetector,3
4,mu-,-160.806,-198.974,1299.5,11.2083,OutDetector,4
