event_no,PDGnumb,PosX,PosY,PosZ,time,volume_ref,volume_no
0,13,450.841,-300.967,1300.5,0.395916,1,4
0,13,460.475,-330.862,1250.5,0.592884,1,3
0,13,470.103,-360.747,1200.5,0.789832,1,2
0,13,479.745,-390.631,1150.5,0.986787,1,1
0,13,489.379,-420.538,1100.5,1.18378,1,0
0,13,29.3872,-181.446,1300.5,0.387712,1,4
0,13,0.689429,-181.707,1250.5,0.580566,1,3
0,13,-28.056,-182.027,1200.5,0.773503,1,2
0,13,-56.8162,-182.343,1150.5,0.966464,1,1
0,13,-85.5943,-182.83,1100.5,1.15946,1,0
1,13,-30.3333,81.9944,1300.5,0.374622,1,4
1,13,-49.7392,96.5994,1250.5,0.561009,1,3
1,13,-69.0818,111.192,1200.5,0.747311,1,2
1,13,-88.4085,125.703,1150.5,0.933524,1,1
1,13,-107.72,140.149,1100.5,1.11966,1,0
2,-13,201.994,218.871,1300.5,0.344572,1,4
2,-13,190.453,221.102,1250.5,0.515969,1,3
2,-13,178.92,223.31,1200.5,0.687357,1,2
2,-13,167.402,225.501,1150.5,0.858732,1,1
2,-13,155.886,227.711,1100.5,1.03011,1,0
2,-13,-391.215,299.83,-1099.5,8.60069,0,0
2,-13,-404.178,300.874,-1149.5,8.77314,0,1
2,-13,-417.099,301.912,-1199.5,8.94555,0,2
2,-13,-429.994,302.951,-1249.5,9.11794,0,3
2,-13,-442.906,304.037,-1299.5,9.29034,0,4
3,13,122.143,263.891,1300.5,0.368578,1,4
3,13,144.365,264.489,1250.5,0.551921,1,3
3,13,166.478,265.13,1200.5,0.735117,1,2
3,13,188.513,265.756,1150.5,0.918207,1,1
3,13,210.532,266.453,1100.5,1.10128,1,0
4,-13,305.804,-248.675,1300.5,0.371478,1,4
4,-13,295.416,-227.231,1250.5,0.556271,1,3
4,-13,285.039,-205.801,1200.5,0.74104,1,2
4,-13,274.655,-184.395,1150.5,0.92578,1,1
4,-13,264.291,-163.005,1100.5,1.10685,1,0
4,-13,264.288,-162.998,1100.48,1.11049,1,0
5,13,63.7854,443.921,1300.5,0.371257,1,4
5,13,66.6753,466.975,1250.5,0.555966,1,3
5,13,69.5189,490.098,1200.5,0.740766,1,2
6,13,81.2059,419.277,1300.5,0.369319,1,4
6,13,103.523,417.038,1250.5,0.5531,1,3
6,13,125.945,414.976,1200.5,0.737005,1,2
6,13,148.3,412.923,1150.5,0.920812,1,1
6,13,170.832,410.646,1100.5,1.1049,1,0
7,-13,-94.2103,-319.512,1300.5,0.478732,1,4
