PDGnumb,PosX,PosY,PosZ,Momentum[GeV],theta,phi
13,431.663,-241.472,1400,10.831,2.58067,5.02422
13,86.5398,-180.884,1400,1.39402,2.62019,3.15142
13,8.33581,53.0166,1400,1.03203,2.68949,2.49849
-13,225.044,214.443,1400,3.72449,2.90993,2.95178
13,77.8846,262.527,1400,1.11306,2.72289,0.030812
-13,326.474,-291.383,1400,5.00986,2.69663,2.02155
13,58.2146,398.025,1400,1.13298,2.7066,1.45009
13,36.83,423.506,1400,1.01576,2.7204,6.18817
-13,-64.1617,-222.642,1400,8.29784,2.34663,4.4116
13,289.423,-243.828,1400,1.14729,2.85292,5.94992
13,51.7757,-384.95,1400,0.862205,2.97226,3.35728
-13,362.5,276.709,1400,35.1108,2.1947,2.04284
13,-45.4233,-444.121,1400,43.8127,2.78325,4.92538
13,494.45,-252.351,1400,0.293721,2.40226,4.51857
-13,37.3108,-159.86,1400,162.938,2.44107,4.81044
13,416.967,-425.522,1400,21.8963,2.50825,0.204783
13,384.171,-466.169,1400,0.593182,2.79504,3.48126
13,-48.9934,-146.319,1400,0.952535,2.38137,5.1457
-13,-349.273,196.358,1400,2.78937,2.70154,5.0352
13,477.632,-19.6881,1400,0.431428,2.649,5.23802
-13,-42.9467,-378.12,1400,1.34249,2.98104,4.35128
-13,-46.0926,305.639,1400,0.119634,2.7172,2.20557
13,-460.577,-333.807,1400,0.491393,2.72253,1.03248
13,-148.254,292.831,1400,1.56006,2.05906,1.85059
-13,397.901,399.383,1400,1.89194,2.31906,2.11106
-13,-378.422,425.192,1400,0.39935,2.8673,1.9782
-13,-152.498,-326.53,1400,1.3681,2.66037,0.269173
-13,-233.042,291.453,1400,1.1199,2.66456,1.51488
-13,-40.5927,16.3473,1400,3.38593,2.21331,0.173612
13,-148.822,78.0846,1400,0.237086,3.02758,0.942101
13,-280.954,398.132,1400,0.124345,3.01033,2.18134
13,454.016,238.279,1400,1.17628,2.69727,1.19921
13,-410.335,160.034,1400,0.432956,2.84663,3.11949
-13,251.386,232.47,1400,3.6318,2.97997,5.20904
13,-128.812,-296.28,1400,1.60831,2.72818,5.61159
-13,43.0143,409.957,1400,12.4711,3.05936,4.82525
-13,-296.806,20.5069,1400,0.280044,2.85199,2.97884
13,-100.712,-489.749,1400,2.71702,2.81803,0.362768
-13,202.758,-450.427,1400,6.62871,2.508,0.737206
-13,62.8286,389.864,1400,0.492745,2.73449,2.15239
13,309.561,-485.279,1400,1.66377,2.04424,3.76322
13,361.766,-402.081,1400,3.55768,2.76598,5.19998
13,448.699,282.969,1400,2.36179,2.45352,0.899356
13,-339.435,-91.6777,1400,14.6048,2.16988,0.257418
13,440.828,-68.8844,1400,14.721,2.50965,3.71992
13,-197.222,161.77,1400,1.31691,2.0407,5.47201
-13,-369.473,-352.674,1400,4.29429,2.71365,4.91935
-13,-325.438,499.659,1400,5.10483,2.31495,2.20668
13,-99.4118,258.793,1400,2.02786,2.46024,4.91621
